# name	type	tags	description_or_title	npm_deps	payload_file
comp-227	component	label,select,user,avatar,profile,radix	label/select/user — variant 227		vendor/origin/r/comp-227.json
comp-228	component	label,select,user,avatar,profile,radix	label/select/user — variant 228		vendor/origin/r/comp-228.json
comp-229	component	label,select,command,combobox,popover,search,autocomplete,radix	label/select/command — variant 229		vendor/origin/r/comp-229.json
comp-230	component	label,select,command,combobox,popover,search,autocomplete,radix	label/select/command — variant 230		vendor/origin/r/comp-230.json
comp-231	component	label,select,command,combobox,popover,search,autocomplete,timezone,time,radix	label/select/command — variant 231		vendor/origin/r/comp-231.json
comp-232	component	label,select,command,combobox,popover,search,autocomplete,flag,radix	label/select/command — variant 232		vendor/origin/r/comp-232.json
comp-233	component	label,select,command,combobox,popover,search,autocomplete,radix	label/select/command — variant 233		vendor/origin/r/comp-233.json
comp-234	component	label,select,multiselect,tag,input,search,autocomplete,radix	label/select/multiselect — variant 234		vendor/origin/r/comp-234.json
comp-235	component	label,select,multiselect,tag,input,search,autocomplete,radix	label/select/multiselect — variant 235		vendor/origin/r/comp-235.json
comp-236	component	label,select,multiselect,native select	label/select/multiselect — variant 236		vendor/origin/r/comp-236.json
comp-237	component	label,select,multiselect,react aria	label/select/multiselect — variant 237	react-aria-components	vendor/origin/r/comp-237.json
comp-238	component	label,select,multiselect,react aria	label/select/multiselect — variant 238	react-aria-components	vendor/origin/r/comp-238.json
comp-239	component	label,select,multiselect,react aria	label/select/multiselect — variant 239	react-aria-components	vendor/origin/r/comp-239.json
comp-240	component	slider,label,radix	slider/label/radix — variant 240		vendor/origin/r/comp-240.json
comp-241	component	slider,label,disabled,radix	slider/label/disabled — variant 241		vendor/origin/r/comp-241.json
comp-242	component	slider,label,radix	slider/label/radix — variant 242		vendor/origin/r/comp-242.json
comp-243	component	slider,label,radix	slider/label/radix — variant 243		vendor/origin/r/comp-243.json
comp-244	component	slider,label,radix	slider/label/radix — variant 244		vendor/origin/r/comp-244.json
comp-245	component	slider,label,radix	slider/label/radix — variant 245		vendor/origin/r/comp-245.json
comp-246	component	slider,label,radix	slider/label/radix — variant 246		vendor/origin/r/comp-246.json
comp-247	component	slider,label,radix	slider/label/radix — variant 247		vendor/origin/r/comp-247.json
comp-248	component	slider,label,radix	slider/label/radix — variant 248		vendor/origin/r/comp-248.json
comp-249	component	slider,label,tooltip,radix	slider/label/tooltip — variant 249		vendor/origin/r/comp-249.json
comp-250	component	slider,range slider,label,range,radix	slider/range slider/label — variant 250		vendor/origin/r/comp-250.json
comp-251	component	slider,range slider,label,range,radix	slider/range slider/label — variant 251		vendor/origin/r/comp-251.json
comp-252	component	slider,label,volume,controls,radix	slider/label/volume — variant 252		vendor/origin/r/comp-252.json
comp-253	component	slider,range slider,label,range,radix	slider/range slider/label — variant 253		vendor/origin/r/comp-253.json
comp-254	component	slider,label,button,input,tooltip,reset,radix	slider/label/button — variant 254		vendor/origin/r/comp-254.json
comp-255	component	slider,label,input,radix	slider/label/input — variant 255		vendor/origin/r/comp-255.json
comp-256	component	slider,label,vote,rating,radix	slider/label/vote — variant 256		vendor/origin/r/comp-256.json
comp-257	component	slider,label,vote,rating,radix	slider/label/vote — variant 257		vendor/origin/r/comp-257.json
comp-258	component	slider,range slider,label,input,range,radix	slider/range slider/label — variant 258		vendor/origin/r/comp-258.json
comp-259	component	slider,label,button,pricing,radix	slider/label/button — variant 259		vendor/origin/r/comp-259.json
comp-260	component	slider,range slider,label,button,radix	slider/range slider/label — variant 260		vendor/origin/r/comp-260.json
